,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
10,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Beyond the threaded programming model on real-time operating systems,University of California,33.6429469,-117.8401606,Orange County,Irvine,California,United States
11,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Consistency vs. availability in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
12,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Consistency vs. availability in distributed cyber-physical systems,"Professor of EECS, University of California, Berkeley",,,,,,
13,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Consistency vs. availability in distributed cyber-physical systems,University of California,33.6429469,-117.8401606,Orange County,Irvine,California,United States
14,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Xronos: Predictable coordination for safety-critical distributed embedded systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
15,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Xronos: Predictable coordination for safety-critical distributed embedded systems,"Professor of EECS, University of California, Berkeley",,,,,,
16,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Xronos: Predictable coordination for safety-critical distributed embedded systems,University of California,33.6429469,-117.8401606,Orange County,Irvine,California,United States
17,Alexandra Theodoropoulou, Enhancing Decentralized Decision-Making with Big Data and Blockchain Technology. A Comprehensive Review,Quantifying and generalizing the CAP theorem,University of Patras,38.2869279,21.7851062,Achaia Regional Unit,Municipal Unit of Patras,"Peloponnese, Western Greece and the Ionian",Greece
18,Andreas Harth,SaVeWoT: Scripting and Verifying Web of Things Systems and Their Effects on the Physical World,Towards Building Verifiable CPS using Lingua Franca,Fraunhofer IIS (Department Leader),,,,,,
19,Andreas Harth,SaVeWoT: Scripting and Verifying Web of Things Systems and Their Effects on the Physical World,Towards Building Verifiable CPS using Lingua Franca,"Friedrich-Alexander-Universität Erlangen-Nürnberg (Professor), Fraunhofer IIS (Department Leader)",,,,,,
20,Andreas Schmidt, ResourceGauge: enabling resource-aware software components,Xronos: Predictable coordination for safety-critical distributed embedded systems,Saarland Informatics Campus,49.2569205,7.0419508,Regionalverband Saarbrücken,Saarbrücken,Saarland,Germany
21,Athanasios Kiourtis, Self-Adaptable Infrastructure Management for Analyzing the Efficiency of Big Data Stores,Quantifying and generalizing the CAP theorem,"PostDoc Researcher, University of Piraeus Research Center",,,,,,
22,Binqi Sun,"PretVM: Predictable, efficient virtual machine for real-time concurrency",High-performance Deterministic Concurrency Using Lingua Franca,Technical University of Munich,48.2654976,11.6692249,Landkreis München,,Bavaria,Germany
23,Binqi Sun,"PretVM: Predictable, efficient virtual machine for real-time concurrency",Interpret: A time-predictable multicore processor,Technical University of Munich,48.2654976,11.6692249,Landkreis München,,Bavaria,Germany
24,Binqi Sun,"PretVM: Predictable, efficient virtual machine for real-time concurrency",Towards Building Verifiable CPS using Lingua Franca,Technical University of Munich,48.2654976,11.6692249,Landkreis München,,Bavaria,Germany
25,Bjarne Johansson,Consistency before availability: Network reference point based failure detection for controller redundancy,Consistency vs. availability in distributed cyber-physical systems,Mälardalens university,59.6182104,16.5416357,Västmanland County,Västerås,,Sweden
26,Bjarne Johansson,Consistency before availability: Network reference point based failure detection for controller redundancy,Consistency vs. availability in distributed cyber-physical systems,"PhD student, Mälardalens university, Senior R&D Engineer ABB AB.",,,,,,
27,Bjarne Johansson,Consistency before availability: Network reference point based failure detection for controller redundancy,Trading off consistency and availability in tiered heterogeneous distributed systems,Mälardalens university,59.6182104,16.5416357,Västmanland County,Västerås,,Sweden
28,Bjarne Johansson,Consistency before availability: Network reference point based failure detection for controller redundancy,Trading off consistency and availability in tiered heterogeneous distributed systems,"PhD student, Mälardalens university, Senior R&D Engineer ABB AB.",,,,,,
29,Brian Huffman,PYCALIPER: Python-Embedded Infrastructure for RTL Verification and Specification Synthesis,"UCLID5: Multi-modal formal modeling, verification, and synthesis",Senior Researcher,,,,,,
30,Brian Huffman,PYCALIPER: Python-Embedded Infrastructure for RTL Verification and Specification Synthesis,"UCLID5: Multi-modal formal modeling, verification, and synthesis","Senior Researcher, Intel Labs",,,,,,
31,Bruno Nogueira,Performability evaluation of NoSQL-based storage systems,Quantifying and generalizing the CAP theorem,"Professor de Ciência da Computação, Universidade Federal de Alagoas - Instituto de Computação",,,,,,
32,Calin Cascaval,Timetide: A programming model for logically synchronous distributed systems,Consistency vs. availability in distributed cyber-physical systems,Google,37.421473,-122.080679,Santa Clara,Mountain View,California,USA
33,Carla Fabiana Chiasserini, State-Aware Migration in Edge Mobile Application,Quantifying and generalizing the CAP theorem,"Full Professor, Politecnico di Torino, Italy",,,,,,
34,Carla Fabiana Chiasserini, State-Aware Migration in Edge Mobile Application,Quantifying and generalizing the CAP theorem,Politecnico di Torino,45.0636974,7.6575263,Torino,Turin,Piedmont,Italy
35,Chadlia Jerad,Toward Dynamism in Distributed Lingua Franca Programs,Consistency vs. availability in distributed cyber-physical systems,"University of Manouba, Tunisia",36.8160195,10.0617773,سيدي عمر,,Manouba,Tunisia
36,Chadlia Jerad,Toward Dynamism in Distributed Lingua Franca Programs,High-performance Deterministic Concurrency Using Lingua Franca,"University of Manouba, Tunisia",36.8160195,10.0617773,سيدي عمر,,Manouba,Tunisia
37,Chadlia Jerad,Toward Dynamism in Distributed Lingua Franca Programs,Risk and mitigation of nondeterminism in distributed cyber-physical systems,"University of Manouba, Tunisia",36.8160195,10.0617773,سيدي عمر,,Manouba,Tunisia
38,Chanhee Lee,A Case Study of API Design for Interoperability and Security of the Internet of Things,Beyond the threaded programming model on real-time operating systems,University of Central Florida,28.599591,-81.1971284,Orange County,Orlando,Florida,United States
39,Chanhee Lee,A Case Study of API Design for Interoperability and Security of the Internet of Things,Risk and mitigation of nondeterminism in distributed cyber-physical systems,University of Central Florida,28.599591,-81.1971284,Orange County,Orlando,Florida,United States
40,Chaozheng Wang,Position Paper: Programming Language Techniques for Bridging LLM Code Generation Semantic Gaps,PolyVer: A Compositional Approach for Polyglot System Modeling and Verification,The Chinese University of Hong Kong,22.4201838,114.2079145,,Sha Tin District,Hong Kong,China
41,Christian Menard, Deterministic Reactive Programming for Cyber-physical Systems,Consistency vs. availability in distributed cyber-physical systems,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
42,Christian Menard, Deterministic Reactive Programming for Cyber-physical Systems,Provable Determinism for Software in Cyber-Physical Systems,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
43,Christian Menard, Deterministic Reactive Programming for Cyber-physical Systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
44,Christian Menard, Deterministic Reactive Programming for Cyber-physical Systems,Trading off consistency and availability in tiered heterogeneous distributed systems,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
45,Christian Menard,Deterministic coordination across multiple timelines,Debugging and verification tools for LINGUA FRANCA in GEMOC studio,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
46,Christian Menard,Deterministic coordination across multiple timelines,Quantifying and generalizing the CAP theorem,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
47,Christian Menard,High-performance Deterministic Concurrency Using Lingua Franca,Quantifying and generalizing the CAP theorem,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
48,Christian Menard,High-performance Deterministic Concurrency Using Lingua Franca,Xronos: Predictable coordination for safety-critical distributed embedded systems,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
49,Christian Menard,Timing enclaves for performance in Lingua Franca,Risk and mitigation of nondeterminism in distributed cyber-physical systems,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
50,Christos Panayiotou,iCPS-DL: A Description Language for Autonomic Industrial Cyber-Physical Systems,Towards Building Verifiable CPS using Lingua Franca,Computer Eng.,,,,,,
51,Christos Panayiotou,iCPS-DL: A Description Language for Autonomic Industrial Cyber-Physical Systems,Towards Building Verifiable CPS using Lingua Franca,Dep. of Electrical,,,,,,
52,Christos Panayiotou,iCPS-DL: A Description Language for Autonomic Industrial Cyber-Physical Systems,Towards Building Verifiable CPS using Lingua Franca,KIOS Research Center of Excellence; Dep. of Electrical and Computer Eng.; University of Cyprus,,,,,,
53,Christos Panayiotou,iCPS-DL: A Description Language for Autonomic Industrial Cyber-Physical Systems,Towards Building Verifiable CPS using Lingua Franca,University of Cyprus,35.1434031,33.4140514,Nicosia Muncipality,Nicosia,Cyprus,Cyprus
54,Ciprian Teodorov,[BOOK][B] Formal Methods: Foundations and Applications,Debugging and verification tools for LINGUA FRANCA in GEMOC studio,"Brest, France",48.3905283,-4.4860088,Finistère,Brest,Brittany,France
55,Ciprian Teodorov,[BOOK][B] Formal Methods: Foundations and Applications,Debugging and verification tools for LINGUA FRANCA in GEMOC studio,"Professor, ENSTA | Institut Polytechnique de Paris, Brest, France",,,,,,
56,Claudio Savaglio,Edge AI in the computing continuum: Consistency and Availability at Early Design Stages,Consistency vs. availability in distributed cyber-physical systems,"Assistant Professor of Computer Engineering, Università della Calabria",,,,,,
57,Claudio Savaglio,Edge AI in the computing continuum: Consistency and Availability at Early Design Stages,Consistency vs. availability in distributed cyber-physical systems,Università della Calabria,39.3620867,16.2237085,Cosenza,,Calabria,Italy
58,David Klüner,Simulation to Reality: Testbeds and Architectures for Connected and Automated Vehicles,Risk and mitigation of nondeterminism in distributed cyber-physical systems,RWTH Aachen,50.7791657,6.0689209,Aachen (district),Aachen,North Rhine-Westphalia,Germany
59,Debashis De,Parity Generator-Checker Based Nano communication Network Using Reversible Quantum Majority Voter,Communication over Continuous Quantum Secure Dialogue using Einstein-Podolsky-Rosen States,Maulana Abul Kalam Azad University of Technology,22.5964916,88.4174395,Bidhannagar,Bidhannagar,West Bengal,India
60,Debashis De,Parity Generator-Checker Based Nano communication Network Using Reversible Quantum Majority Voter,Communication over Continuous Quantum Secure Dialogue using Einstein-Podolsky-Rosen States,"Professor,Maulana Abul Kalam Azad University of Technology,West Bengal",,,,,,
61,Debashis De,Parity Generator-Checker Based Nano communication Network Using Reversible Quantum Majority Voter,Communication over Continuous Quantum Secure Dialogue using Einstein-Podolsky-Rosen States,West Bengal,22.9964948,87.6855882,Kotulpur,,West Bengal,India
62,Devan S Shanker,Querying labeled time series data with scenario programs,"UCLID5: Multi-modal formal modeling, verification, and synthesis",UC Berkeley,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States
63,Dimitrios Kouzapas,iCPS-DL: A Description Language for Autonomic Industrial Cyber-Physical Systems,Towards Building Verifiable CPS using Lingua Franca,Research Associate University of Cyprus,,,,,,
64,Dmytro Pukhkaiev,Achieving Cyber-Physical Consistency,Consistency vs. availability in distributed cyber-physical systems,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
65,Dmytro Pukhkaiev,Achieving Cyber-Physical Consistency for Immersive Robot Controlling,Consistency vs. availability in distributed cyber-physical systems,TU Dresden,51.0282765,13.7359828,,Dresden,Saxony,Germany
66,Dongha Kim,A Case Study of API Design for Interoperability and Security,Beyond the threaded programming model on real-time operating systems,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States
67,Dongha Kim,A Case Study of API Design for Interoperability and Security,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States
68,Dongha Kim,A Case Study of API Design for Interoperability and Security of the Internet of Things,Beyond the threaded programming model on real-time operating systems,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States
69,Dongha Kim,A Case Study of API Design for Interoperability and Security of the Internet of Things,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States
70,Dongha Kim,Reliable event detection using time-synchronized iot platforms,Xronos: Predictable coordination for safety-critical distributed embedded systems,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States
71,Dongha Kim,Securing Edge-Based Real-Time IoT Systems,High-performance Deterministic Concurrency Using Lingua Franca,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States
72,Dongha Kim,Securing Edge-Based Real-Time IoT Systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States
73,Edoardo David Santi,Pragmatic communication for remote control of finite-state markov processes,Consistency vs. availability in distributed cyber-physical systems,Imperial College London,51.4989595,-0.1756407,,London,England,United Kingdom
74,Edoardo David Santi,Pragmatic communication for remote control of finite-state markov processes,Consistency vs. availability in distributed cyber-physical systems,"PhD student, Imperial College London",,,,,,
75,Edoardo David Santi,Remote Estimation of Markov Processes over Costly Channels: On Implicit Information Benefits,Consistency vs. availability in distributed cyber-physical systems,Imperial College London,51.4989595,-0.1756407,,London,England,United Kingdom
76,Edoardo David Santi,Remote Estimation of Markov Processes over Costly Channels: On Implicit Information Benefits,Consistency vs. availability in distributed cyber-physical systems,"PhD student, Imperial College London",,,,,,
77,Edward A. LEE, Logical Time in Actor Systems,Consistency vs. availability in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
78,Edward A. LEE, Logical Time in Actor Systems,Consistency vs. availability in distributed cyber-physical systems,Computer Sciences,,,,,,
79,Edward A. LEE, Logical Time in Actor Systems,Consistency vs. availability in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
80,Edward A. LEE, Logical Time in Actor Systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
81,Edward A. LEE, Logical Time in Actor Systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Computer Sciences,,,,,,
82,Edward A. LEE, Logical Time in Actor Systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
83,Edward A. LEE, Towards Efficient and Deterministic Dataflow Systems for Machine Learning,Consistency vs. availability in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
84,Edward A. LEE, Towards Efficient and Deterministic Dataflow Systems for Machine Learning,Consistency vs. availability in distributed cyber-physical systems,Computer Sciences,,,,,,
85,Edward A. LEE, Towards Efficient and Deterministic Dataflow Systems for Machine Learning,Consistency vs. availability in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
86,Edward A. LEE, Towards Efficient and Deterministic Dataflow Systems for Machine Learning,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
87,Edward A. LEE, Towards Efficient and Deterministic Dataflow Systems for Machine Learning,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Computer Sciences,,,,,,
88,Edward A. LEE, Towards Efficient and Deterministic Dataflow Systems for Machine Learning,Risk and mitigation of nondeterminism in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
89,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Beyond the threaded programming model on real-time operating systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
90,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Beyond the threaded programming model on real-time operating systems,Computer Sciences,,,,,,
91,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Beyond the threaded programming model on real-time operating systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
92,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Consistency vs. availability in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
93,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Consistency vs. availability in distributed cyber-physical systems,Computer Sciences,,,,,,
94,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Consistency vs. availability in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
95,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Xronos: Predictable coordination for safety-critical distributed embedded systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
96,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Xronos: Predictable coordination for safety-critical distributed embedded systems,Computer Sciences,,,,,,
97,Edward A. LEE, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Xronos: Predictable coordination for safety-critical distributed embedded systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
98,Edward A. LEE,A Preliminary Model of Coordination-free Consistency,Consistency vs. availability in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
99,Edward A. LEE,A Preliminary Model of Coordination-free Consistency,Consistency vs. availability in distributed cyber-physical systems,Computer Sciences,,,,,,
100,Edward A. LEE,A Preliminary Model of Coordination-free Consistency,Consistency vs. availability in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
101,Edward A. LEE,A Preliminary Model of Coordination-free Consistency,Trading off consistency and availability in tiered heterogeneous distributed systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
102,Edward A. LEE,A Preliminary Model of Coordination-free Consistency,Trading off consistency and availability in tiered heterogeneous distributed systems,Computer Sciences,,,,,,
103,Edward A. LEE,A Preliminary Model of Coordination-free Consistency,Trading off consistency and availability in tiered heterogeneous distributed systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
104,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Beyond the threaded programming model on real-time operating systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
105,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Beyond the threaded programming model on real-time operating systems,Computer Sciences,,,,,,
106,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Beyond the threaded programming model on real-time operating systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
107,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,High-performance Deterministic Concurrency Using Lingua Franca,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
108,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,High-performance Deterministic Concurrency Using Lingua Franca,Computer Sciences,,,,,,
109,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,High-performance Deterministic Concurrency Using Lingua Franca,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
110,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Interpret: A time-predictable multicore processor,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
111,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Interpret: A time-predictable multicore processor,Computer Sciences,,,,,,
112,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Interpret: A time-predictable multicore processor,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
113,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
114,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Computer Sciences,,,,,,
115,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
116,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Xronos: Predictable coordination for safety-critical distributed embedded systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
117,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Xronos: Predictable coordination for safety-critical distributed embedded systems,Computer Sciences,,,,,,
118,Edward A. LEE,Codesign of reactor-oriented hardware and software for cyber-physical systems,Xronos: Predictable coordination for safety-critical distributed embedded systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
119,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,High-performance Deterministic Concurrency Using Lingua Franca,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
120,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,High-performance Deterministic Concurrency Using Lingua Franca,Computer Sciences,,,,,,
121,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,High-performance Deterministic Concurrency Using Lingua Franca,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
122,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,Trading off consistency and availability in tiered heterogeneous distributed systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
123,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,Trading off consistency and availability in tiered heterogeneous distributed systems,Computer Sciences,,,,,,
124,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,Trading off consistency and availability in tiered heterogeneous distributed systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
125,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,Xronos: Predictable coordination for safety-critical distributed embedded systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
126,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,Xronos: Predictable coordination for safety-critical distributed embedded systems,Computer Sciences,,,,,,
127,Edward A. LEE,Consistency vs. availability in distributed cyber-physical systems,Xronos: Predictable coordination for safety-critical distributed embedded systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
128,Edward A. LEE,Efficient Coordination for Distributed Discrete-Event Systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
129,Edward A. LEE,Efficient Coordination for Distributed Discrete-Event Systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,Computer Sciences,,,,,,
130,Edward A. LEE,Efficient Coordination for Distributed Discrete-Event Systems,Risk and mitigation of nondeterminism in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
131,Edward A. LEE,Efficient Coordination for Distributed Discrete-Event Systems,Strongly-consistent distributed discrete-event systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
132,Edward A. LEE,Efficient Coordination for Distributed Discrete-Event Systems,Strongly-consistent distributed discrete-event systems,Computer Sciences,,,,,,
133,Edward A. LEE,Efficient Coordination for Distributed Discrete-Event Systems,Strongly-consistent distributed discrete-event systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
134,Edward A. LEE,Efficient parallel reinforcement learning framework using the reactor model,High-performance Deterministic Concurrency Using Lingua Franca,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
135,Edward A. LEE,Efficient parallel reinforcement learning framework using the reactor model,High-performance Deterministic Concurrency Using Lingua Franca,Computer Sciences,,,,,,
136,Edward A. LEE,Efficient parallel reinforcement learning framework using the reactor model,High-performance Deterministic Concurrency Using Lingua Franca,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
137,Edward A. LEE,Efficient parallel reinforcement learning framework using the reactor model,Provable Determinism for Software in Cyber-Physical Systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
138,Edward A. LEE,Efficient parallel reinforcement learning framework using the reactor model,Provable Determinism for Software in Cyber-Physical Systems,Computer Sciences,,,,,,
139,Edward A. LEE,Efficient parallel reinforcement learning framework using the reactor model,Provable Determinism for Software in Cyber-Physical Systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
140,Edward A. LEE,Exploration of Approaches for Robustness and Safety in a Low Code Open Environment for Factory Automation,Consistency vs. availability in distributed cyber-physical systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
141,Edward A. LEE,Exploration of Approaches for Robustness and Safety in a Low Code Open Environment for Factory Automation,Consistency vs. availability in distributed cyber-physical systems,Computer Sciences,,,,,,
142,Edward A. LEE,Exploration of Approaches for Robustness and Safety in a Low Code Open Environment for Factory Automation,Consistency vs. availability in distributed cyber-physical systems,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,,,,,
143,Edward A. LEE,Exploration of Approaches for Robustness and Safety in a Low Code Open Environment for Factory Automation,High-performance Deterministic Concurrency Using Lingua Franca,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
144,Edward A. LEE,Exploration of Approaches for Robustness and Safety in a Low Code Open Environment for Factory Automation,High-performance Deterministic Concurrency Using Lingua Franca,Computer Sciences,,,,,,
